lemma,entry,definition,dcc
"nemo","nēmō, nēminis m./f.","nobody,  no one; (following a negative, usually an emphatic positive assertion) everyone, everybody; a person of no importance, a nobody","false"
"nempe","nempe","certainly, without doubt, assuredly, of course, as everybody knows; (in answers to questions or picking up another speaker's words) Why, clearly; (conceding something) admittedly, it is true","false"
"nec/neque","nec/neque","and not, nor, and\dots not (for purposes of translation, you will often want to put the \textit{not} much later in the clause or sentence than the \textit{and}; \textbf{nec\dots nec} neither\dots nor","false"
"nequeo","nequeō, nequīre, nequiī/nequīvī, nequitum","be unable","false"
"nequidem","nequidem","not even (in classical Latin, this would be \textit{ne X quidem}, but Descartes somestimes writes \textit{nequidem X})","false"
"nescio","nesciō (4)","not to know, not know, be ignorant, be unaware of; \textit{nescio an\dots} I am inclined to think that, perhaps, probably","false"
"nihil/nil","nihil/nīl","nothing, not anything","false"
"nihildum","nihildum","(often written as two words) nothing so far","false"
"nihilominus/nilominus","nihilōminus/nīlōminus","none the less, notwithstanding just the same; likewise, as well","false"
"nihilum/nilum","nihilum/nīlum, nihilī/nīlī, n.","nothing, not anything; \textit{dē nihilō} without reason, for nothing; \textit{ad nihilum venīre} come to nothing, have no effect; (in expressions as genitive of value) \textit{nihilī pendere}, \textit{nihilī facere}, \textit{nihilī putare} (or similar) set no value on, care nothing about","false"
"nisi","nisi","if\dots not, unless, except if","false"
"niteo","niteō, nitēre, nituī, ———","be radiant, shine; sparkle, glitter, be bright with reflected light; have a healthy look (of animals, land, people); be resplendent, be well decked out (of a home or building)","false"
"nitor","nītor, nītī, nīxus sum","rest one's weight, lean (on), support oneself, lean, incline; put one's faith (in), rely (on); be based (on), rest or depend (on); strive, exert oneself, direct efforts towards a goal or purpose","false"
"nocturnus","nocturnus, nocturna, nocturnum","of or belonging to the night; operating by night, appropriate to night, nocturnal","false"
"nolo","nōlō, nōlle, nōluī","wish\dots not, want\dots not, not want, be unwilling; refuse, decline","false"
"nomen","nōmen, nōminis, n.","name; designation, title; term, expression; a noun; fame, reputation","false"
"non","nōn","not","false"
"nondum","nōndum","not yet","false"
"nonne","nōnne","(introduces a yes or no question expecting the answer yes); Surely\dots ?; Isn't it the case that\dots ?","false"
"nonnihil/nonnil/nonnihilum","nōnnihil/nōnnīl/nōnnihilum","(with a partitive genitive) a certain amount, some, a number of; (alone) something; not a little, not a few; (adverb) to a certain extend, in some measure","false"
"nonnisi","nōnnisi","(often written as two words) not unless, not except, only","false"
"nonnullus","nōnnullus","(often written as two words) a certain amount, not a little; some, several, a number of","false"
"nosco","noscō, noscere, nōvī, nōtum","get knowledge of, become acquainted with, come to know, learn, discern; (in perfect tenses) know (i.e. `I have learned' is equivalent to `I know' and `I had learned' is equivalent to `I knew'); examine, study, inspect; familiarize oneself with, make the acquaintance of","false"
"noster","noster, nostra, nostrum","our, our own, ours, of us","false"
"notitia","nōtitia, nōtitiae, f.","acquaintance, practical knowledge, familiarity; knowledge, understanding, awareness, cognizance; fame, celebrity; (also in a bad sense) notoriety, infamy","false"
"noto","notō (1)","mark, to designate with a mark, brand, stamp; censure, stigmatize (since Roman censors would put a mark beside a dishonored person's name); pick out (among a group), distinguish; single out, designate; indicate (by a sign); point out, represent, denote, indicate","false"
"notus","nōtus, nōta, nōtum","known, familiar; widely or generally known, noted","false"
"novus","novus, nova, nobum","new; strange, unfamiliar; surprising, unforeseen; strange, alien, subversive, seditious; \textit{rēs novae}, \textit{motus novī} revolution","false"
"nox","nox, noctis, f.","night, evening","false"
"nudus","nūdus, nūda, nūdum","naked, bare, unclothed; uncovered, exposed","false"
"nullus","nūllus, nūlla, nūllum","not any, none, no; (with a following negative, the meaning is a strong positive) \textit{nūllus nōn} every, any, all","false"
"numero","numerō (1)","add up, count; reckon, compute; enumerate, catalogue, specify in a list","false"
"numerus","numerus, numerī, m.","sum, total; a number; a (large or small) quantity or amount","false"
"numquam","numquam","at no time, never","false"
"numquid","numquid","(introducing questions where a negative answer is expected) Is it really possible that\dots ? Surely\dots not?; (introducing rhetorical questions where the implied answer is no) Can it be said that\dots ?; (introducing an indirect question) whether, if; (non-classical, but common in Descartes, introducing a question where agreement is expected, often a rhetorical question) Surely\dots ? Isn't it the case that\dots ?","false"
"nunc","nunc","now, at this time, at present; now, under these circumstances, in view of this; \textit{nunc\dots nunc} at one moment\dots at another moment, in some cases\dots in other cases","false"
"nunquid","nunquid","see \textit{numquid}","false"
"nuper","nūper, nūpera, nūperum","not long ago, recently, just now; (in reference to past time) not long before","false"
"nutrio","nūtriō (4)","suckle, feed at the breast; support with food, nourish, feed; foster, bring up, rear; support, build up, increase, encourage, look after, care for","false"
"obfirmo","obfirmō (1)","(often \textit{off}-) make firm against attack, secure; make firm, make inflexible; make up one's mind about or persist in","false"
"obdormio","obdormiō (4)","fall asleep","false"
"obliviscor","oblīviscor, oblīviscī, oblītus sum","forget, forget about, forget how","false"
"obstinatus","obstinātus, obstināta, obstinātum","stubborn, obstinate, resolute; hardened (in vice or crime)","false"
"obstupesco","obstupēscō, obstupēscere, obstupuī, ———","be struck dumb, be stunned, dazed, or astounded (with any powerful emotion)","false"
"occasio","occāsiō, occāsiōnis. f","an opportunity, chance; contingency, accident","false"
"occupo","occupō (1)","take possession of, occupy; seize control of; invade, seize, cover; seize hold of, take hold of; forestall, catch first, take by surprise; be the first to act, anticipate others, get in first","false"
"occurro","occurrō, occurrere, occurrī, occursum","run to meet, hurry to meet; arrive, turn up; meet or confront (in a hostile manner), go to oppose; counteract, check; meet accidentally, run into , come upon, happen upon, become involved; (of an idea or situation) present itself, occur (to a person); occur, crop up, confront one","false"
"oculus","oculus, oculī, m.","the eye, an eye; (usually plural) operation of the eyes, sight; (usually plural) gaze, look, regard","false"
"odor","odor, odōris, m.","smell, scent, odor; pleasant smell, fragrance; unpleasant smell, stink, stench; a whiff, hint, suggestion","false"
"odoratus","odorātus, odorātūs, m.","action or sense of smelling, smell","false"
"olim","ōlim","at that time, some time ago; once upon a time, once; formerly, of old","false"
"omnino","omnīnō","in every respect, entirely, absolutely, altogether; in all, all told, altogether; (with negatives) at all, in any way or circumstance; in general, as a whole","false"
"omnis","omnis, omne","all, the entire amount, the whole of; every one, each, every","false"
"opinio","opīniō, opīniōnis, f.","(an) opinion, belief, view; expectation; imagination (as a faculty or a mental picture); reputation","false"
"opinor","opīnor (1)","think, believe, suppose; have in mind, imagine, conceive; look for, expect; express an opinion, opine","false"
"opportunus","opportūnus, opportūna, opportūnum","advantageous, convenient, favorable; timely, opportune; appropriate (to an occasion) seasonable; available when wanted, ready to hand; liable, exposed, susceptible (to something, generally something bad)","false"
"ops","ops, opis, f.","power, ability, might; forces, troops; power, dominion, influence; (usually plural) financial resources, wealth, property; aid, assistance, help","false"
"opus","opus, operis, n.","work, a task, an undertaking; occupation, employment; activity, working, effort, strenuous activity; an achievement, accomplishment, product of work or labor (e.g., a work of art, a finished building, a literary work, etc.)","false"
"origo","orīgō, orīginis, f.","a beginning, commencement; source, start; descent, lineage, birth, origin","false"
"ostendo","ostendō, ostendere, ostendī, ostentum/ostensum","hold out, present; show, display, reveal; exhibit (for sale, use, inspection, etc.); point out, mention; make clear, show, evince, demonstrate, disclose, make known","false"
"otium","ōtium, ōtiī, n.","unoccupied or spare time, leisure time; leisure, freedom from work, rest, relaxation, ease; peace, tranquility, calm; inactivity, idleness; temporary cessation, respite, lull","false"
"pactum","pactum, pactī, n.","an agreement, compact; means, manner, method, grounds, consideration","false"
"pars","pars, partis, f.","a portion, part, piece, share","false"
"particularis","particulāris, particulāre","particular; partial, of or concerning a part","false"
"parum","parum","(as a noun) an insufficient amount, too little, not enough; as an adverb) insufficiently, too little, not enough","false"
"parvus","parvus, parva, parvum","small (in size, extent, duration, amount, quantity, etc.); insignificant, unimportant","false"
"patior","patior, patī, passus sum","to be subjected to, undergo, experience; put up with, tolerate; endure, make do; allow, permit; admit of, allow, grant, accept","false"
"paucus","paucus, pauca, paucum","few, little","false"
"paulus","paulus, paula, paulum","little, small (in size or quantity)","false"
"pauper","pauper, pauperis","poor, not wealthy; of little worth, cheap; meager, poor, unproductive","false"
"pendeo","pendeō, pendēre, pependī","hang, be suspended; hang down, hang onto; overhang; be suspended, be left incomplete or hanging; depend, hinge, be based (on), result (from)","false"
"pensito","pēnsitō (1)","weigh (in a set of scales); pay, weight out (in payment); weigh in one's mind, ponder, consider; (with \textit{cum}) weigh against, compare (with)","false"
"per","per","(preposition with accusative) through, across; along, over, along with; through the length of, along (some part of); all over, throughout; in the course of, during (a time); through in succession; as far as (some person or authority) is concerned; as a result of, by reason of, through","false"
"perceptio","perceptiō, perceptiōnis, f.","the action of taking or taking possession; gathering; the right to gather; mental grasp, perception","false"
"percipio","percipiō, percipere, percēpī, perceptum","take, take possession of; harvest, earn, reap, acquire; catch hold of; perceive, apprhend, notice, take in or grasp with the mind","false"
"percurro","percurrō, percurrere, per(cu)currī, percursum","run, move quickly over or through; travel quickly from end to end, pass through, visit in quick succession; run over, skim over; run over (in words or thought), survey, review; run through in sequence","false"
"perficio","perficiō, perficere, perfēcī, perfectum","bring (an action or process) to its end, complete, finish; make perfect, bring to perfection; carry out, execute; bring about, achieve, effect; destroy, kill; use up, exhaust","false"
"pergo","pergō, pergere, perrexī, perrectum","proceed, move onward; go on, lead","false"
"periculum","perīculum, perīculī, n.","test, trial, proof; danger, risk; liability, responsibility for damage or loss","false"
"permisceo","permisceō, permiscēre, permiscuī, permixtum","mix or blend thoroughly, mix together; bring into association, combine in a group; mix up, convound; involve, embroil; disturb, throw into confusion, confuse","false"
"permitto","permittō, permittere, permīsī, permissum","(literal meaning very rare) send through; let run free, relax, allow full scope to, give rein to; cede, relinquish, surrender; commit, entrust; leave (to another) to decide or do, refer; permit, allow, sanction","false"
"permultus","permultus, permulta, permultum","very much, very many, a great many","false"
"perspicuus","perspicuus, perspicua, perspicuum","transparent, pellucid; clearly visible, conspicuous; lucid, clear","false"
"persuadeo","persuādeō, persuādēre, persuāsī, persuāsum","persuade, prevail upon, convince","false"
"pertineo","pertineō, pertinēre, pertinuī, ———","extend, reach, stretch; be aimed (at), be directed (towards); tend, be conducive (to); relate or pertain (to), have to do (with); be a concern (to), concern, be the business (of)","false"
"pervenio","perveniō, pervenīre, pervēnī, perventum","come (to), get (to), arrive (at); get through (to the end or conclusion); extend or reach (to); pass into the hands of, become the property of","false"
"pes","pēs, pedis, m.","foot (of a person); foot (as a measure of distance); foot (in poetry)","false"
"peto","petō, petere, petīvī/petiī/petī, petitum","make for, go towards, direct one's course to; go for, go after, attack; seek and bring, fetch, procure; seek, aim at, strive for, strive after, pursue","false"
"physica","physica, physicōrum, n. pl.","natural science, the study of physical nature, physics (though in a much broader sense than ours)","false"
"pictor","pictor, pictōris, m.","a painter","false"
"pileus","pīleus, pīleī, m.","(also with the stem \textit{pill}-) hat","false"
"pingo","pingō, pingere, pīnxī, pīctum","paint, tint, adorn with colors or colored designs; paint (a picture); paint or draw a picture of, depict; decorate, embellish","false"
"placidus","placidus, placida, placidum","kindly, indulgent; tame, quiet, friendly; peaceful, calm, free from stress","false"
"placo","plācō (1)","conciliate, placate; reconcile (someone with someone else or something); calm, soothe, make calm","false"
"planus","plānus, plāna, plānum","even, level, flat, plane; simple, plain; obvious, clear, manifest","false"
"platea","platēa, platēae, f.","a street","false"
"plerusque","plērusque, plēraque, plērumque","greater part of, greater number of, most of; (plural) a great number, very many; (plural substantive) most people, the majority","false"
"pondus","pondus, ponderis, n.","weight, heaviness; a heavy object, a mass; a burden or load (literal or figurative); importance, value, weight, influence","false"
"pono","pōnō, pōnere, posuī, positum","place, set, put; station, post; put in position, set up, pitch (of a military camp); build, construct, found; put down, lay down","false"
"porro","porrō","straight on, forward, onward, ahead; further off, beyond; hereafter, later; further, more (referring to continuing action); in turn; on top of that, next, besides; furthermore, again, moreover","false"
"positio","positiō, positiōnis, f.","the action of placing; planting (of crops); layout; disposition, lie (of land); position, situation, mental position, attitude; condition, state","false"
"possum","possum, posse, potuī, ———","be able (to), be capable (of), can; be possible","false"
"post","post","\textit{adverb and preposition with accusative} (adverb) behind, back; at a later time, afterwards; (with accusative) behind; beyond, over; after; second to, of less value or importance than, after ","false"
"postea","posteā","subsequently, afterwards, thereafter; hereafter, in future, later; next (in time); next (in value, importance, rank, etc.)","false"
"posterus","posterus, postera, posterum","future, later; next, following; (plural substantive) descendants, posterity, future generations (one's own or in general)","false"
"postquam","postquam","after, when; ever since, from the time that, since","false"
"potens","potēns, potentis","endowered, provided (with); having got possession (of); having or exercising power (over); capable, powerful, influential","false"
"potestas","potestās, potestātis, f.","power, (possession of) control or command; position of power, office, magistracy; jurisdiction, authority; opportunity, chance, right","false"
"potis","potis, pote","able, capable; liable; possible","false"
"praecido","praecīdō, praecīdere, praecīdī, praecīsum","shorten, cut back, cut or break the front off; cut down or sever (a part from the main body of something or someone); cut short, bring to a sudden end, break off; deprive of","false"
"praeclarus","praeclārus, praeclāra, praeclārum","very clear, brilliant, bright, radiant; splendid, magnificent, grand; outstanding (in achievement or reputation), brilliant, glorious","false"
"praeiudicium","praeiūdicium, praeiūdiciī, n.","previous  legal judgement or ruling, prejudgement; a precedent (in legal or other contexts); a preconception, prejudice, presumption","false"
"praeter","praeter","\textit{preposition with accusative} passing, past, across; beyond, surpassing, exceeding; to a greater degree than; out of line with, contrary to, at variance with; in addition to, as well as, besides; other than, with the exception of, except, but, save","false"
"praeterea","praetereā","in addition (to that), besides, as well; moreover, furthermore","false"
"pravus","prāvus, prāva, prāvum","crooked, not straight, awry; twisted, distorted, misshapen, deformed; corrupt, debased, evil; (in a weaker sense) wrong-headed, misguided; defective, faulty, wrong; incompetent, bad","false"
"primus","prīmus, prīma, prīmum","the first, first, earliest; furthest in front, leading; furthest out, uttermost, extreme; primary, fundamental","false"
"principium","prīncipium, prīncipiī, n.","action or fact of beginning, starting, founding; origin; first part (of anything), head, source; original position, starting point; beginning, opening; (guiding) principle, basis, premiss, starting point","false"
"prior","prior, prius","former, previous, earlier, prior, preceding; in front, leading; immediately preceding, the last; in anticipation or advance of someone else, earlier, first","false"
"pro","prō","\textit{preposition with ablative} before, in front of; on behalf of, in the interests of, as representitive of; in favor of, on the side of; in place of, instead of; in proportion to, according to; in relation to, considering, with regard to; in view of, having regard to, to judge from","false"
"probabilis","probābilis, probābile","commendable, acceptable; plausible, credible; probable, likely","false"
"probo","probō (1)","approve, commend; think well of, esteem; give assent to, authorize, santion; examine, test, put to the test (in order to approve or not); win approval for; demonstrate, prove, show to be real or true","false"
"procuro","prōcūrō (1)","look after, attend to; administer, have charge of; expiate, avert by sacrifices; (intransitive) perform sacrifices (in order to avert something)","false"
"profero","prōferō, prōferre, prōtulī, prōlātum","bring forth, bring out; (reflexive or passive as intransitive) come forth, emerge; show, display; bring into existence, put forth; utter, pronounce; make known, publish, disclose; carry or move forwards (reflexive or passive as intransitive) advance, come forward; extend, prolong; postpone, defer","false"
"proficio","prōficiō, prōficere, prōfēcī, prōfectum","make headway, gain results, be successful; do good, help; advance, gain ground; increase (in size or extent), rise (of prices); progress, develop, improve","false"
"profundus","profundus, profunda, profundum","extnding a long way down, (very) deep, bottomless; deep, thick, profound; insatiable, having an immense capacity; secret, abstruse, mysterious, remote from general knowledge; absorbing, intense, profound","false"
"proinde","proinde","according (as), in proportion (as); in a corresponding manner or degree, accordingly; in the same way or degree (as); equally, similarly, likewise; so then, accordingly","false"
"pronuntio","prōnūntiō (1)","proclaim, announce, state publicly; pronounce (a decision, a verdict, etc.); affirm, declare; state as a fact, tell, relate; assert; utter, speak, express; recite, declaim","false"
"pronus","prōnus, prōna, prōnum","leaning or bending forward, tilted forward, bending down; lying prone, prone; sloping, having a downward incline; inclined (to, towards), disposed (to), liable (to)","false"
"proprius","proprius, propria, proprium","one's own, personal, private; peculiar (to someone, something), particular (to one person or thing), special, specific; characteristic, personal; lasting, permanent, continuous","false"
"propter","propter","\textit{adverb and preposition with accusative} (adverb) near, close by, close at hand; (with accusative) near, close to; in view of, because of, as a result of, on account of, thanks to; for the sake of, out of consideration for","false"
"prorsus","prōrsus","forward, straight ahead; without interruption, straight; right through to the end; thoroughly, in every respect, altogether, quite, absolutely; (usually after a connective) more than that, even, indeed; (as a sentence connective) indeed, in fact; all in all","false"
"prout","prout","according as, in proportion as; in so far as, inasmuch as, to the extent that","false"
"prudens","prūdēns, prūdentis","well aware of what one does or of the consequences of one's action, acting deliberately, open-eyed; aware (of), having foreknowledge (of); knowing (that), well aware (that); exercising foresight, prudent, discreet; characterized by prudence or good sense; having good understanding, clever, having a good practical understanding or skill (in)","false"
"prudentia","prūdentia, prūdentiae, f.","practical understanding or wisdom, shrewdness, good sense; proficiency (in some field), practical grasp; foreknowledge","false"
"pudeo","pudeō (2)","(often impersonal in the \nth{3} person singular) fill with shame, make ashamed; (with a personal subject) feel shame, be ashamed","false"
"pulso","pulsō (1)","strike (with repeated blows), beat, assault, hit; knock; push, impel, drive; send on one's way, send away, dispel","false"
"punctum","pūnctum, pūnctī, n.", "small hole, puncture; sting; dot, spot (e.g., on a die); (geometrical) point (e.g., the center of a circle); speck, pinprick; a tiny degree, a tiny amount
"pungo","pungō, pungere, pupugī/pepugī, pūnctum","prick, puncture, sting, jab, poke; trouble, vex, disturb","false"
"purgo","purgō (1)","free from impurities or dirt, clean, purify; clear a space (of any obstructions, pests, or unwanted people); remove the outer covering, husk, or shell (of something); free from troubles, anxieties, etc.; absolve, exonerate, free (someone from charges); apologize (i.e., purge onesel of an offense)","false"
"purpura","purpura, purpurae, f.","shellfish yielding a purple dye; purple dye; purple-dyed cloth (associated with senators, knights, and royalty); purple color","false"
"puto","putō (1)","clean, make clean; go over in the mind, ponder; estimate, assess; consider (to be), regard (as), deem; think, suppose, believe (that)","false"
"quadratum","quadrātum, quadrātī, n.","a (geometric) square; a square object, something square","false"
"quaero","quaerō, quaerere, quaes(i)ī/quaesīvī, quaesītum","try to find, search for, hunt for, seek, look for; ask to see, ask for; try to obtain, strive for, seek; require, demand, need; try to bring about, aim at, intend, try (to); seek to know about, inquire about, inquire into, examine, consider; ask a question; hold a judicial inquiry into, investigate, try a case","false"
"quaestio","quaestiō, quaestiōnis, f.","the act of searching; examination, interrogation; judicial investigation, inquiry; investigation, research, inquiry; subject of discussion or dispute, problem, question, issue","false"
"qualis","qualis","how constituted","false"
"quamdiu","quamdiū","(interrogative) For how long?; (exclamatory) How long! What a long time!; (relative) for what length of time, (as) long as, until, during","false"
"quamquam","quamquam","(introducing a subordinate concessive clause) however much, although; (introducing a main clause) admittedly, to be sure","false"
"quandoquidem","quandōquidem","inasmuch as, seeing that, since","false"
"quantitas","quantitās, quantitātis, f.","magnitude, multitude, quantity, degree, size, amount","false"
"quantus","quantus, quanta, quantum","(interrogative) of what size, amount, quantity, degree, importance? how much? how many? how big?; (relative) of what size, degree, amount, number, importance","false"
"quapropter","quapropter","Interrog., for what, wherefore, why","false"
"quare","quārē","(interrogative) in what way? how?, why? for what reason?; (relative) by which means, whereby, because of which, for which reason, why; for the reason that, because; (introducing a new sentence) therefore, hence, for this reason","false"
"quasi","quasi","as if, just as, as though; as for example, say; (qualifying expressions of number, measurement, or the like) as good as, practically, more or less","false"
"quattuor","quattuor","four","false"
"quemadmodum","quemadmodum","(interrogative) in what way? how?; (relative) in the manner in which, in which manner, just as, as","false"
"queo","queō, quīre, quīvī/quiī, quitum","be able, can","false"
"qui","quī, quae, quod","who, which, that","false"
"quia","quia","(interrogative) why? for what reason? (relative) for the reason that, because","false"
"quicumque","quīcumque, quaecumque, quodcumque","\textit{also -cunque} whoever, whatever; anyone whatever, anything whatever","false"
"quidam","quīdam, quaedam, quiddam","a certain, some; a certain number, some number; a certain amount, some amount","false"
"quidem","quidem","certainly, indeed; if nothing else, at any rate (particularizing and emphasizing a preceding word or phrase; often found with personal pronouns, especially \textit{ego}","false"
"quies","quiēs, quiētis, f.","(the rest of) sleep; rest, repose, relaxation; idleness, inactivity, inaction; absence of noise, stillness; a calm, peaceful state (of mind or of the world)","false"
"quiesco","quiēscō, quiēscere, quiēvī, quiētum","(rest in) sleep, fall asleep; rest, relax (from work, pain, etc.), take a rest; take no action, do nothing, be still, stand by; say nothing, be quiet; be peaceful, make no disturbance, be calm","false"
"quin","quīn","(interrogative) why not?; (as an adverbial particle) indeed, in fact; (with \textit{etiam} or \textit{et}) yes, and\dots, and furthermore; (conjunction) so as to prevent, so that\dots not","false"
"quinque","quīnque","five","false"
"quis1","quis, quid","who? which (one)? what?","false"
"quisnam","quisnam, quaename, quidname","who (in fact)?, what (in fact)?, who (ever)?, what (ever)? (strengthened form of \textit{quis, quid})","false"
"quispiam","quispiam, quaepiam, quodpiam","one or other, an unspecified, some; a particular (but unspecified), a certain, some","false"
"quisquam","quisquam, quicquam/quidquam","any, anyone, anything","false"
"quisquis","quisquis, quidquid/quicquid","anyone who, anything that; everyone who, everything that; all who, all that; whoever, whatever","false"
"quivis","quīvīs, quaevīs, quodvīs","whatever person you please, whatever thing you please; whoever, whatever; anyone, anything","false"
"quomodo","quōmodō/quōmodo","(interrogative) in what way? how?; in the manner in which, as; to the extent to which, as far as","false"
"quoniam","quoniam","as soon as, after; seeing that, now that; since, inasmuch as, because","false"
"quoque","quoque","in the same way, too, likewise, no less; besides, as well, also, too","false"
"quotiens","quotiēns","(interrogative) how often? how many times? (relative) as often as, whenever; the number of times that, as many as the times that","false"
"ratio","ratiō, ratiōnis, f.","reckoning, calculation (the action or the result of the action); proportion, relation; reasoning, reckoning; theory; an explanation, reason (for), ground; an account; (exercise or faculty of) reason; an affair, concern, business; plan of action, policy, scheme","false"
"rationalis","ratiōnālis, ratiōnāle","derived from or concerned with reason, theoretical, dialectical; possessing reason, rational","false"
"recenseo","recēnseō, recēnsēre, recēnsuī, recēnsum","count, enumerate, make a review or census of","false"
"recordor","recordor (1)","call to mind, recollect, remember","false"
"recurro","recurrō, recurrere, recurrī, recursum","run back, hurry back, return; run in reverse; return, come back, recur; revert, go back (in condition); have recourse to, fall back on","false"
"reddo","reddō, reddere, reddidī, redditum","give back, restore, return (something), repay, put back; restore; throw back, reflect, echo; say in reply, answer; reproduce, repeat; pay, discharge (a debt)","false"
"redeo","redeō, redīre, rediī, reditum","come or go back, return, go back; revert, return, be restored (to a state or condition); recur, come back, return","false"
"reduco","redūcō, redūcere, redūxī, reductum","lead back, bring back,  conduct back, escort back; pull back, draw back; recall, restore, bring back (to a condition, state, situation, etc.); bring, reduce (to a state); bring down, reduce (in degree or quality)","false"
"refero","referō, referre, retulī, relātum","bring back, carry home; bring again; move or force back, withdraw, bring or draw back; (reflexive and passive as intransitive) go back, return; revert, return (to something, to a situation, etc.); report, bring back (news, a message, or reply); record, enter, write down; ascribe, refer, put down; give back, give in return, restore, pay back, render; recall, mention, relate","false"
"rego","regō, regere, rēxī, rēctum","keep straight, direct, guide; manage, steer, guide (the course of); direct the activities of, control, direct, govern, rule, command","false"
"reicio","rēiciō, rēicere, rēiēcī, rēiectum","throw, drive, thrust, or turn back; drive away, repulse, beat off; repel, deter, prevent; remove, send out of the way; throw away, discard, abandon; dismiss, cast aside; refuse (to accept, admit, or adopt), spurn, rebuff, reject; refer, hand over, transfer; put off, postpone","false"
"relabor","relābor, relābī, relāpsus sum","move or fall gradually back, slip or slide back; recede, ebb; relapse, revert, slip back, fall back","false"
"reliquiae","reliquiae, reliquiārum, f. pl.","what remains, the remnants, the remains, the rest; remaining members, survivors; vestiges, traces (what remains after an activity, action, condition, etc.)","false"
"reliquus","reliquus, reliqua, reliquum","the rest of, the remaining, the other; left, remaining (in some place, condition, or state), surviving; future, further","false"
"remaneo","remaneō, remanēre, remānsī, remānsum","stay or remain behind; remain in position, stay (where one is); be left, remain, continue to be, presist, endure","false"
"removeo","removeō, removēre, remōvī, remōtum","move back or away, remove; banish, do away with, remove; debar, disqualify; set aside, leave out of account","false"
"reor","reor, rērī, ratus sum","think, imagine, suppose, deem, hold a belief or opinion","false"
"reperio","reperiō, reperīre, rep(p)erī, repertum","find by looking, discover, find by inquiry or consideration; light upon, acquire, get; discover, get to know, find; find to be, find (in a condition or situation); make up, devise, invent","false"
"repeto","repetō, repetere, repetīvī, repetiī, repetītum","return to, make for again, make one's way back (to); attack again, go for again; attack or go after in retaliation; resort again to; repeat; take steps to recover, get back, seek in return, seek to restore; demand, claim back, call back, recall","false"
"repleo","repleō, replēre, replēvī, replētum","replenish, refill, fill again, reoccupy; restore (to full number, strength, etc.); make up, supply (a deficiency); fill up, occupy the whole of; sate, stuff, satiate","false"
"repraesento","repraesentō (1)","resent to view, exhibit, show, present; revive, bring back into the present; serve as teh equivalent of, represent; represent (in art), portray; represent (in thought or words), portray; make immediately available, bring on at once; pay (a sum), pay at once","false"
"repugno","repugnō (1)","offer resistance (to) fight back, defend oneself; fight or rebel (against), struggle (against doing something), strive (to prevent); object (to) quarrel (with), protest (against); be contrary to, be inconsistent (with), be hostile (to), clash (with)","false"
"requiro","requīrō, requīrere, requīsīvī/requīsiī, requīsītum","try to find, seek, look for; ask or inquire about; ask, demand; try to obtain or bring about, seek; look for, expect to find; need, stand in need of; feel the loss of, miss","false"
"res","rēs, reī, f.","property, wealth; goods, possession; a thing; matter, situation, affair, business, (often in this sense) a court case; fact, deed; activity, practice; purpose, object","false"
"respicio","respiciō, respicere, respexī, respectum","look back, look away (from something), look round; look back and see, notice behind one; look around for (something or someone needed), look to (for help or protection); review, look back on; turn one's thoughts or attention to; take notice of, take account of, heed; have regard for, show concern for; have reference (to), relate (to) be the concern (of)","false"
"respondeo","respondeō, respondēre, respondī, respōnsum","reply, respond (by voice or in writing), answer; answer a charge, speak in defense, say in refutation, reply to an argument, offer an opposite point of view; answer a summons, present oneself; be consistent with, agree or accord (with), conform (to)","false"
"retineo","retineō, retinēre, retinuī, retentum","hold back, hold fast, detain, confine, keep from escaping, prevent from being taken away; hold back, stop, check, delay, restrain; keep hold of, grasp, cling to; continue to use, continue to have, retain, continue to observe, keep up, maintain","false"
"revera","rēvērā","in fact, in reality, truly","false"
"revolvo","revolvō, revolvere, revoluī, revolūtum","roll back, roll aside; unroll, roll back (to the start of); go back over (something in thought or speech), think or speak over; cause to move in a circular course, make revolve, turn (something) around; cause to return, bring around again; fall back again, relapse; fall back on; revert to, come back (to a topic or argument)","false"
"revertor","revertor, revertī, reversus sum","turn back, move back, return, come back; have recourse (to), fall back (on); go back, revert, return, change back; come around again, recur, be renewed; relate back","false"
"rotundus","rotundus, rotunda, rotundum","round, circuluar, spherical, rounded; smooth, well-rounded (positive term for rhetorical style)","false"
"rursus","rūrsus","back, backwards; in reverse; once again, a second time; in one's turn; on top of that, in addition, besides; on the other hand, on the contrary; now again, at another moment","false"
"saltem","saltem","at least, at all events, anyhow; (in negative sentences) even, so much as","false"
"sanguis","sanguis, sanguinis, m.","blood; bloodshed","false"
"sanus","sānus, sāna, sānum","physically sound, healthy; wholesome, causing health, healthy; undamaged, unimpaired; mentally sound, sane, sensible, reasonable, sober","false"
"sapio","sapiō, sapere, sapīvī/sapiī, ———","taste (like something); have a good taste; smell of; (figurative) be a sign of, give indication of; have taste or discernment; be intelligent, show good sense; know, understand; be in one's right mind, be sane","false"
"sapor","sapor, sapōris, m.","taste, flavor; distinctive quality, distinctive character; sense of taste; smell, odor","false"
"satyriscus","satyriscus, satyriscī","little satyr, satyr","false"
"scientia","scientia, scientiae, f.","knowledge, awareness, mental grasp; knowledge (as opposed to mere belief); understanding, expert knowledge; a particular branch of knowledge, an art, skill, or technical expertise; learning, erudition, wide knowledge","false"
"scilicet","scīlicet","it is evident or clear (that), one may be sure (that); it is obvious; naturally, you may depend on it; as is apparent, evidently, certainly, no doubt; (ironic) to be sure, doubtless; I mean, of course; that is to say, namely","false"
